,data_title,data_description
0,tourism_expenditure_passenger_items_2016,"International tourism, expenditures for passenger transport items (current US$)"
1,tourism_expenditure_passenger_items_10_yr_change,"International tourism, expenditures for passenger transport items (current US$)"
2,tourism_reciept_perc_exports_2016,"International tourism, receipts (% of total exports)"
3,tourism_reciept_perc_exports_10_yr_change,"International tourism, receipts (% of total exports)"
4,tourism_expenditure_perc_2016,"International tourism, expenditures (% of total imports)"
5,tourism_expenditure_perc_10_yr_change,"International tourism, expenditures (% of total imports)"
6,tourism_receipt_usd_2016,"International tourism, receipts (current US$)"
7,tourism_receipt_usd_10_yr_change,"International tourism, receipts (current US$)"
8,tourism_expenditure_travel_items_usd_2016,"International tourism, expenditures for travel items (current US$)"
9,tourism_expenditure_travel_items_usd_10_yr_change,"International tourism, expenditures for travel items (current US$)"
10,tourism_expenditure_usd_2016,"International tourism, expenditures (current US$)"
11,tourism_expenditure_usd_10_yr_change,"International tourism, expenditures (current US$)"
12,tourism_receipt_passegner_items_2016,"International tourism, receipts for passenger transport items (current US$)"
13,tourism_receipt_passegner_items_10_yr_change,"International tourism, receipts for passenger transport items (current US$)"
14,tourism_arrival_count_2016,"International tourism, number of arrivals"
15,tourism_arrival_count_10_yr_change,"International tourism, number of arrivals"
16,tourism_departure_count_2016,"International tourism, number of departures"
17,tourism_departure_count_10_yr_change,"International tourism, number of departures"
18,tourism_receipt_travel_items_2016,"International tourism, receipts for travel items (current US$)"
19,tourism_receipt_travel_items_10_yr_change,"International tourism, receipts for travel items (current US$)"
